Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,log_GDP_per_capita,log_Population_mln,log_Adult_mortality
Afghanistan,Asia,2000.0,90.5,129.2,310.8305,0.02,62.0,12.0,22.0,24.0,24.0,0.02,148.0,20.78,2.3,2.5,2.2,0.0,1.0,55.8,4.997212273764115,3.0339909856710814,5.739247747526815
Afghanistan,Asia,2001.0,87.9,125.2,304.858,0.02,63.0,13.0,22.0,35.0,33.0,0.02,163.0,21.61,2.1,2.4,2.2,0.0,1.0,56.3,5.093750200806762,3.0731561705187946,5.719846094423801
Afghanistan,Asia,2002.0,85.3,121.1,298.8855,0.02,64.0,14.0,22.0,36.0,36.0,0.02,320.0,22.6,19.9,2.2,2.3,0.0,1.0,56.8,5.768320995793772,3.1179499062782403,5.700060556905424
Afghanistan,Asia,2003.0,82.7,116.9,292.0365,0.02,65.0,15.0,22.0,41.0,41.0,0.02,332.0,23.68,19.7,19.9,2.4,0.0,1.0,57.3,5.805134968916488,3.164630810015805,5.6768787944564325
Afghanistan,Asia,2004.0,80.0,112.6,285.188,0.02,67.0,16.0,22.0,50.0,50.0,0.02,323.0,24.73,19.5,19.7,2.5,0.0,1.0,57.8,5.777652323222656,3.208017081533325,5.653148611918607
Afghanistan,Asia,2005.0,77.3,108.4,278.3395,0.02,66.0,17.0,22.0,58.0,58.0,0.02,346.0,25.65,19.3,19.5,2.6,0.0,1.0,58.3,5.846438775057725,3.2445435716167785,5.6288415916259344
Afghanistan,Asia,2006.0,74.6,104.1,271.4905,0.03,64.0,18.0,22.0,58.0,58.0,0.02,354.0,26.43,19.2,19.3,2.7,0.0,1.0,58.8,5.869296913133774,3.2744997286161976,5.603927147969901
Afghanistan,Asia,2007.0,71.9,99.9,264.6415,0.02,63.0,21.0,22.0,63.0,63.0,0.02,393.0,27.1,19.0,19.1,2.9,0.0,1.0,59.4,5.973809611869261,3.299533727885655,5.5783760798966515
Afghanistan,Asia,2008.0,69.2,95.7,259.806,0.03,64.0,23.0,23.0,64.0,64.0,0.02,399.0,27.72,18.8,18.9,3.0,0.0,1.0,59.9,5.988961416889864,3.3221541743217022,5.559935198658042
Afghanistan,Asia,2009.0,66.7,91.7,254.9705,0.01,63.0,24.0,23.0,63.0,63.0,0.02,473.0,28.39,18.6,18.7,3.1,0.0,1.0,60.5,6.159095388491933,3.34603697048488,5.541147852191743
Afghanistan,Asia,2010.0,64.2,87.8,250.135,0.02,66.0,29.0,23.0,66.0,66.0,0.02,526.0,29.19,18.4,18.4,3.2,0.0,1.0,61.0,6.26530121273771,3.3738261848660236,5.522000772114713
Afghanistan,Asia,2011.0,61.8,84.0,245.3,0.01,68.0,31.0,23.0,68.0,68.0,0.02,512.0,30.12,18.2,18.2,3.3,0.0,1.0,61.6,6.238324625039508,3.405189402931693,5.502481951264444
Afghanistan,Asia,2012.0,59.5,80.3,240.464,0.01,67.0,33.0,23.0,67.0,67.0,0.03,558.0,31.16,17.9,18.0,3.4,0.0,1.0,62.1,6.324358962381311,3.4391352210025476,5.482570390191738
Afghanistan,Asia,2013.0,57.3,76.9,236.221,0.01,64.0,38.0,23.0,64.0,64.0,0.03,569.0,32.27,17.7,17.7,3.5,0.0,1.0,62.5,6.343880434126331,3.4741380060638707,5.464767807516541
Afghanistan,Asia,2014.0,55.2,73.6,231.978,0.01,62.0,44.0,23.0,62.0,62.0,0.03,565.0,33.37,17.5,17.5,3.5,0.0,1.0,63.0,6.336825731146441,3.5076572927632825,5.446642539583683
Afghanistan,Asia,2015.0,53.2,70.4,227.735,0.0,65.0,42.0,23.0,67.0,65.0,0.03,556.0,34.41,17.2,17.3,3.6,0.0,1.0,63.4,6.320768294250582,3.538347219809389,5.428182672280641
Albania,Rest of Europe,2000.0,24.1,27.2,94.6955,3.92,96.0,90.0,25.0,97.0,97.0,0.01,1961.0,3.09,2.1,2.2,8.8,0.0,1.0,74.0,7.581209826196346,1.128171090909654,4.550666480583585
Albania,Rest of Europe,2001.0,22.9,25.8,90.939,4.51,96.0,90.0,25.0,97.0,97.0,0.01,2144.0,3.06,2.1,2.1,8.7,0.0,1.0,74.3,7.670428522190693,1.1184149159642893,4.510188952075134
Albania,Rest of Europe,2002.0,21.7,24.4,87.182,3.96,96.0,93.0,25.0,98.0,98.0,0.02,2247.0,3.05,2.0,2.1,9.0,0.0,1.0,74.6,7.717351272185329,1.1151415906193203,4.467997887588628
Albania,Rest of Europe,2003.0,20.4,23.0,86.2855,4.33,97.0,93.0,25.0,97.0,97.0,0.02,2381.0,3.04,1.9,2.0,9.0,0.0,1.0,74.8,7.7752758464868625,1.1118575154181303,4.457661565432709
Albania,Rest of Europe,2004.0,19.1,21.5,85.3885,4.42,99.0,96.0,26.0,98.0,97.0,0.02,2522.0,3.03,1.8,1.9,9.1,0.0,1.0,75.0,7.8328075165248645,1.1085626195212777,4.44721143130545
Albania,Rest of Europe,2005.0,17.8,20.0,84.4915,4.98,98.0,97.0,26.0,97.0,98.0,0.03,2676.0,3.01,1.8,1.8,9.1,0.0,1.0,75.2,7.892078421248119,1.1019400787607843,4.436650937587466
Albania,Rest of Europe,2006.0,16.6,18.5,83.5945,5.17,98.0,94.0,26.0,97.0,97.0,0.03,2851.0,2.99,1.7,1.8,9.2,0.0,1.0,75.4,7.955425088912672,1.095273387402595,4.425977728452749
Albania,Rest of Europe,2007.0,15.3,17.1,82.6975,5.46,98.0,95.0,26.0,99.0,98.0,0.03,3045.0,2.97,1.6,1.7,9.2,0.0,1.0,75.6,8.021256180143997,1.0885619528146082,4.4151893718266475
Albania,Rest of Europe,2008.0,14.1,15.8,82.1105,5.56,99.0,98.0,26.0,99.0,99.0,0.03,3298.0,2.95,1.6,1.6,9.2,0.0,1.0,75.9,8.101071503119543,1.0818051703517284,4.408065901094436
Albania,Rest of Europe,2009.0,12.9,14.5,81.5235,5.79,98.0,98.0,26.0,98.0,98.0,0.03,3432.0,2.93,1.5,1.6,9.3,0.0,1.0,76.2,8.140898460607852,1.075002423028976,4.400891322242085
Albania,Rest of Europe,2010.0,11.8,13.3,80.9365,4.88,99.0,98.0,26.0,99.0,99.0,0.03,3577.0,2.91,1.4,1.5,9.3,0.0,1.0,76.6,8.182279739259018,1.0681530811834012,4.393664896605175
Albania,Rest of Europe,2011.0,10.8,12.1,80.349,5.03,99.0,99.0,26.0,99.0,99.0,0.03,3678.0,2.91,1.4,1.5,9.3,0.0,1.0,76.9,8.210124405164267,1.0681530811834012,4.386379646555359
Albania,Rest of Europe,2012.0,10.0,11.2,79.762,4.43,99.0,99.0,26.0,99.0,99.0,0.03,3736.0,2.9,1.3,1.4,9.6,0.0,1.0,77.3,8.225770799348734,1.0647107369924282,4.379047200564882
Albania,Rest of Europe,2013.0,9.3,10.4,78.243,4.28,99.0,99.0,26.0,99.0,99.0,0.03,3781.0,2.9,1.3,1.4,9.7,0.0,1.0,77.6,8.237743803890933,1.0647107369924282,4.359819368549749
Albania,Rest of Europe,2014.0,8.8,9.9,76.724,4.1,98.0,98.0,27.0,98.0,98.0,0.03,3856.0,2.89,1.2,1.3,9.7,0.0,1.0,77.8,8.257385655730436,1.0612565021243408,4.340214566859442
Albania,Rest of Europe,2015.0,8.5,9.6,75.205,4.33,99.0,98.0,27.0,99.0,99.0,0.03,3953.0,2.88,1.2,1.3,9.7,0.0,1.0,78.0,8.282230063296685,1.0577902941478545,4.320217718107177
Algeria,Africa,2000.0,33.9,39.7,140.486,0.25,81.0,78.0,24.0,86.0,86.0,0.01,3111.0,31.04,6.5,6.4,5.9,0.0,1.0,70.6,8.042699496897637,3.435276695315018,4.9451078396808805
Algeria,Africa,2001.0,33.3,38.9,136.2,0.23,81.0,73.0,24.0,89.0,89.0,0.01,3163.0,31.45,6.4,6.3,6.1,0.0,1.0,71.1,8.059276223305648,3.4483989831464497,4.9141243937154115
Algeria,Africa,2002.0,32.4,37.8,131.915,0.36,81.0,93.0,24.0,86.0,86.0,0.01,3298.0,31.86,6.3,6.2,6.3,0.0,1.0,71.6,8.101071503119543,3.4613513044819024,4.882157775774412
Algeria,Africa,2003.0,31.3,36.5,127.5385,0.33,81.0,96.0,25.0,87.0,87.0,0.01,3490.0,32.26,6.3,6.1,6.5,0.0,1.0,72.1,8.157657015196472,3.4738280726970627,4.8484182798018125
Algeria,Africa,2004.0,30.1,35.1,123.162,0.45,81.0,94.0,25.0,86.0,86.0,0.02,3593.0,32.69,6.2,6.1,6.7,0.0,1.0,72.6,8.186742787113518,3.487069220736119,4.813500561963097
Algeria,Africa,2005.0,28.8,33.6,118.7855,0.5,83.0,94.0,25.0,88.0,88.0,0.02,3752.0,33.15,6.1,6.0,6.9,0.0,1.0,73.1,8.230044310126114,3.5010427166318716,4.777319345607311
Algeria,Africa,2006.0,27.6,32.1,114.4095,0.38,80.0,98.0,25.0,95.0,95.0,0.02,3760.0,33.64,6.1,6.0,7.0,0.0,1.0,73.5,8.23217423638394,3.5157158351047473,4.7397841174559465
Algeria,Africa,2007.0,26.4,30.7,110.033,0.34,90.0,95.0,25.0,95.0,95.0,0.02,3828.0,34.17,6.0,5.9,7.2,0.0,1.0,73.9,8.250097752572845,3.5313480661272005,4.700780320801414
Algeria,Africa,2008.0,25.3,29.5,108.0665,0.37,91.0,96.0,25.0,92.0,93.0,0.02,3856.0,34.73,6.0,5.9,6.7,0.0,1.0,74.3,8.257385655730436,3.5476038667559826,4.682746778374411
Algeria,Africa,2009.0,24.4,28.4,106.1,0.43,94.0,98.0,25.0,94.0,95.0,0.02,3851.0,35.33,6.0,5.9,6.9,0.0,1.0,74.6,8.25608813381491,3.5647324613710536,4.664382045619937
Algeria,Africa,2010.0,23.6,27.4,104.1335,0.35,95.0,95.0,25.0,95.0,95.0,0.02,3918.0,35.98,5.9,5.8,7.1,0.0,1.0,74.9,8.273336598504486,3.582963228522387,4.645673729808304
Algeria,Africa,2011.0,22.9,26.7,102.167,0.4,95.0,96.0,25.0,95.0,95.0,0.02,3957.0,36.66,5.9,5.8,7.4,0.0,1.0,75.2,8.283241441385425,3.6016862424115588,4.626608729345574
Algeria,Africa,2012.0,22.5,26.2,100.2005,0.43,95.0,95.0,25.0,95.0,95.0,0.03,4012.0,37.38,5.9,5.8,7.6,0.0,1.0,75.4,8.297045149081827,3.6211358020274167,4.607173178658274
Algeria,Africa,2013.0,22.1,25.8,98.739,0.5,95.0,93.0,25.0,95.0,95.0,0.03,4043.0,38.14,5.9,5.8,7.8,0.0,1.0,75.7,8.304742269640771,3.641263600172273,4.5924800051715735
Algeria,Africa,2014.0,21.9,25.5,97.277,0.54,95.0,99.0,25.0,95.0,95.0,0.04,4112.0,38.92,6.0,5.8,7.9,0.0,1.0,75.9,8.321664807135,3.6615082573178044,4.577562578926542
Algeria,Africa,2015.0,21.6,25.2,95.8155,0.55,95.0,99.0,26.0,95.0,95.0,0.05,4178.0,39.73,6.0,5.8,7.9,0.0,1.0,76.1,8.33758794211651,3.6821065698265074,4.562424467296448
